to shout,Actions,To call out loudly.,3
come,Actions,To move towards someone.,2
to carry,Actions,To move an object from one place to another.,5
to raise,Actions,To lift something up.,8
to walk,Actions,To move from one place to another by moving one's feet slowly.,4
to row,Actions,To move through water in a boat with oars,3
to shop,Actions,To buy things.,9
to catch,Actions,To take hold of something that is moving.,9
to clean,Actions,To remove dirt.,6
to climb,Actions,To go move upwards.,10
dance,Actions,To move to music.,3
to laugh,Actions,To make sounds expressing amusement / joy.,4
to swim,Actions,To move through water using ones arms and legs.,1
to bathe,Actions,To get clean using water.,7
to see,Actions,To take in information using ones eyes.,7
to speak,Actions,To say something,1
to discuss,Actions,To take turns talking about a topic.,9
to pull,Actions,To drag something towards oneself,5
to fall,Actions,To land on the ground after being higher up (often painful).,5
to watch,Actions,To observe something.,3
to greet,Actions,To say hello / good bye.,7
to marry,Actions,To commit to be with someone else with the purpose of starting a family.,3
to sleep,Actions,To rest (dreaming may be involved),6
to dream,Actions,To see images / experience something that is not really happening (when sleeping).,3
to sit,Actions,Opposite of standing.  Often done on a chair but sometimes done on the floor.,10
to live,Actions,Opposite of being dead.,10
to stay,Actions,To remain in one place.,3
to move,Actions,To go from one place to another.,9
to wake up,Actions,To stop sleeping.,4
to read ,Actions,To interpret the meaning of written words.,5
to kill,Actions,To take a life.,10
to sail,Actions,To travel on water (boats are involved).,1
to fly,Actions,To travel through the air (requires wings / aircraft).,8
to escape,Actions,To get away from a person / place.,10
to flow,Actions,To move smoothly (often involves water / liquid).,5
to dive,Actions,To enter water from a height.,9
to play,Actions,To be involved in a game.,6
to allow,actions,To let something happen.,1
to send,actions,To make something go somewhere.,4
to sing,actions,To make musical sounds,10
chicken,Animals,Bird that tastes good when roasted.,10
sheep,Animals,Animal that provides wool.,2
horse,Animals,Animal that can be ridden / raced.,4
feather,Animals,Covering of birds.,2
fish,Animals,"Animal that lives in water, has fins and scales.",3
animal,Animals,Living thing that is not a plant.,8
cow,Animals,Animal that gives milk and goes 'moo'.,3
calf,Animals,Baby cow.,5
rat,Animals,Pest that eats just about anything.,7
kiwi,Animals,Native bird with long beak (cannot fly).,9
white heron,Animals,Native bird with white feathers and long graceful neck (not to be confused with swans).,1
dog,Animals,Animal which can be trained to 'fetch'.,9
bird,Animals,Animal with feathers and wings (can usually fly).,9
pet,Animals,Animal which is cared for by humans.,8
lizard,Animals,"Animal with four legs, a long body and very small scales.",2
reptile,Animals,"Animals which lay leathery eggs eg: turtles, crocodiles and lizards.",4
snail,Animals,Slimy garden pest which has a shell.,1
cat,Animals,"Furry pet which eats mice, birds and cat food.",4
worm,Animals,Long animal without legs.  Often soft and squishy.,5
bear,Animals,Large animal with claws and teeth.   Not native to New Zealand.,6
bee,Animals,Yellow and black insect which makes honey,9
pig,Animals,Animal that we use to get bacon / pork.,10
frog,Animals,"Animal found in rivers streams, can live both in water and on land.",10
spider,Animals,Animal that makes webs to catch food.,5
butterfly,Animals,Animal that has beautiful wings and comes out of a crysalis.,1
fly,Animals,Annoying pest that often feeds on rotten food (and other gross substances).,6
whale,Animals,Large mammal that lives in the ocean (not to be confused with fish).,9
albatross,Animals,Large bird that lives near the sea.,3
spider web,Animals,Trap made by spiders,5
eel,Animals,Long slimy fish (can be good to eat).,9
